fechas,hora,latitud,longitud
2018-08-02,10:10:00,37.9788,-25.7033
2018-08-02,15:35:00,37.9425,-25.6663
2018-08-02,17:21:00,38.6432,-28.5115
2018-08-03,09:57:00,38.6776,-28.5523
2018-08-03,10:28:31,38.688247,-28.554613
2018-08-03,10:52:00,37.73,-25.9929
2018-08-03,10:29:00,37.7303,-25.9829
2018-08-03,11:08,37.730125,-26.008075
2018-08-03,09:57:00,38.6776,-28.5523
2018-08-03,10:58:00,38.704,-28.5463
2018-08-03,10:19:00,38.6847,-28.5576
2018-08-03,10:29:00,37.7303,-25.9829
2018-08-03,11:00,37.73315,-25.9982
2018-08-03,10:29:00,37.7303,-25.9829
2018-08-04,17:03:56,38.560857,-28.217735
2018-08-04,10:37:00,38.321,-28.3953
2018-08-04,16:01:58,38.563465,-28.240125
2018-08-04,10:37:00,38.321,-28.3953
2018-08-04,09:09:00,38.6071,-27.2764
2018-08-04,16:22:29,38.55845,-28.231837
2018-08-04,16:16:47,38.558043,-28.235093
2018-08-04,17:06:58,38.56044,-28.217928
2018-08-05,11:04:00,38.2252,-28.224
2018-08-05,16:27:00,38.6697,-28.5913
2018-08-05,16:01:00,38.6651,-28.5862
2018-08-05,15:40:00,37.9241,-25.6848
2018-08-05,15:49:00,38.6624,-28.5749
2018-08-05,10:55:00,38.3933,-28.4672
2018-08-05,15:59:00,37.7504,-25.9762
2018-08-05,15:53:32,38.662855,-28.576702
2018-08-05,12:21:34,38.405223,-28.47197
2018-08-05,16:53:00,38.6783,-28.5816
2018-08-05,16:27:00,38.6697,-28.5913
2018-08-05,16:53:00,38.6783,-28.5816
2018-08-05,10:01:00,38.3833,-28.406
2018-08-05,10:55:00,37.9582,-25.7178
2018-08-05,15:41:13,38.66317,-28.569583
2018-08-06,17:05:00,38.7169,-28.5947
2018-08-06,10:49:00,38.7137,-28.5766
2018-08-06,16:51:00,38.6909,-28.6139
2018-08-06,12:23,38.37,-28.19
2018-08-06,16:13:00,38.6828,-28.6042
2018-08-06,10:57:00,38.7187,-28.575
2018-08-06,14:49:00,38.2519,-28.1319
2018-08-07,10:28,37.59235833,-25.41786667
2018-08-07,10:36:00,37.5817,-25.4573
2018-08-07,10:41:00,38.6973,-28.5735
2018-08-07,10:45,37.55563333,-25.43915
2018-08-07,10:28,37.59235833,-25.41786667
2018-08-07,10:51:25,38.706995,-28.555592
2018-08-07,11:00:00,38.712,-28.57
2018-08-07,16:15,37.456,-25.30738333
2018-08-07,10:41:00,38.6973,-28.5735
2018-08-08,15:45:00,38.7239,-28.6859
2018-08-08,10:30:00,37.9444,-25.7119
2018-08-08,12:06,38.37,-28.19
2018-08-08,15:40:00,37.9792,-25.7667
