fechas,hora,latitud,longitud,thetao,so,uo,vo,zos,chl,o2,deptho
2013-05-16,11:09,37.68805833,-25.66543333,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-16,,37.68411667,-25.69666667,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-16,11:03:00,37.6846,-25.6583,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-16,11:12,37.690525,-25.64143333,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-16,11:12,37.690525,-25.64143333,[17.12683492898941],[36.107974452897906],[-0.08850367739796638],[-0.0012207403779029846],-0.2063051238656044,0.07068457454442978,245.2237548828125,603.1522216796875
2013-05-20,10:14:00,37.6744,-25.2936,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-05-20,10:14:00,37.6744,-25.2936,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-05-20,10:14:00,37.6744,-25.2936,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-05-21,09:32,37.6741,-25.57596667,[18.919125951826572],[36.07593001797795],[-0.11963255703449249],[0.0],-0.21332438103854656,0.05996030196547508,236.6235809326172,428.7898864746094
2013-05-21,11:26,37.69009167,-25.622625,[18.919125951826572],[36.07593001797795],[-0.11963255703449249],[0.0],-0.21332438103854656,0.05996030196547508,236.6235809326172,428.7898864746094
2013-05-21,11:26,37.69009167,-25.622625,[18.919125951826572],[36.07593001797795],[-0.11963255703449249],[0.0],-0.21332438103854656,0.05996030196547508,236.6235809326172,428.7898864746094
2013-05-21,09:32,37.6741,-25.57596667,[18.919125951826572],[36.07593001797795],[-0.11963255703449249],[0.0],-0.21332438103854656,0.05996030196547508,236.6235809326172,428.7898864746094
2013-05-21,10:52:00,37.671,-25.4202,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
2013-05-21,09:18:00,37.6886,-25.4546,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
2013-05-21,10:52:00,37.671,-25.4202,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
2013-05-21,09:18:00,37.6886,-25.4546,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
2013-05-21,10:52:00,37.671,-25.4202,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
